attempt_id,student_id,question_id,topic,difficulty,timestamp,selected_option,is_correct,time_taken_seconds
A000568,S007,Q0125,NLP,1.0,,d,0,29.0
A002596,S031,Q0125,NLP,1.0,,a,1,24.0
A000140,S002,Q0013,Python,2.0,,b,1,39.0
A000411,S005,Q0098,RNN,4.0,,d,0,60.0
A000322,S004,Q0107,RNN,1.0,,a,1,14.0
A001796,S022,Q0049,AI_Basics,4.0,2026-08-28 03:24:57,a,1,22.0
A000003,S001,Q0104,RNN,2.0,2026-08-28 03:27:57,b,1,42.0
A001710,S021,Q0108,RNN,5.0,2026-08-28 03:28:57,b,1,37.0
A002035,S025,Q0063,ML,2.0,2026-08-28 03:53:57,d,0,33.0
A002372,S029,Q0013,Python,2.0,2026-08-28 03:58:57,b,1,28.0
A000416,S006,Q0057,AI_Basics,1.0,2026-08-28 03:59:57,a,1,23.0
A003105,S038,Q0014,Python,3.0,2026-08-28 04:02:57,a,1,50.0
A001449,S018,Q0100,RNN,3.0,2026-08-28 04:03:57,d,0,53.0
A001955,S024,Q0075,Neural_Networks,5.0,2026-08-28 04:14:57,d,0,38.0
A002938,S036,Q0008,Math_Basics,5.0,2026-08-28 04:34:57,c,0,77.0
A000693,S009,Q0001,Math_Basics,5.0,2026-08-28 04:57:57,a,0,72.0
A002038,S025,Q0111,LSTM,1.0,2026-08-28 05:21:57,a,1,18.0
A002371,S029,Q0007,Math_Basics,5.0,2026-08-28 05:21:57,d,0,48.0
A002459,S030,Q0101,RNN,1.0,2026-08-28 05:25:57,b,1,17.0
A003101,S038,Q0117,LSTM,5.0,2026-08-28 05:33:57,c,0,65.0
A002374,S029,Q0110,LSTM,2.0,2026-08-28 05:48:57,a,1,39.0
A002528,S031,Q0024,Python,1.0,2026-08-28 05:52:57,b,0,16.0
A000522,S007,Q0076,Neural_Networks,2.0,2026-08-28 05:58:57,c,0,37.0
A001537,S019,Q0054,AI_Basics,4.0,2026-08-28 06:12:57,a,0,47.0
A000342,S005,Q0012,Math_Basics,4.0,2026-08-28 06:22:57,d,0,45.0
A001791,S022,Q0106,RNN,5.0,2026-08-28 06:25:57,d,0,39.0
A001630,S020,Q0076,Neural_Networks,2.0,2026-08-28 06:30:57,b,1,29.0
A001797,S022,Q0116,LSTM,1.0,2026-08-28 06:38:57,b,1,22.0
A000696,S009,Q0129,NLP,1.0,2026-08-28 06:44:57,b,1,34.0
A002855,S035,Q0026,Data_Structures,2.0,2026-08-28 06:45:57,c,0,42.0
A003103,S038,Q0013,Python,2.0,2026-08-28 06:50:57,c,0,46.0
A000004,S001,Q0003,Math_Basics,1.0,2026-08-28 07:02:57,b,1,17.0
A000870,S011,Q0084,Neural_Networks,1.0,2026-08-28 07:03:57,b,1,28.0
A001951,S024,Q0056,AI_Basics,1.0,2026-08-28 07:07:57,b,1,
A000260,S004,Q0083,Neural_Networks,4.0,2026-08-28 07:09:57,d,0,63.0
A000177,S003,Q0093,CNN,4.0,2026-08-28 07:15:57,c,0,56.0
A001629,S020,Q0114,LSTM,2.0,2026-08-28 07:38:57,c,1,38.0
A001044,S013,Q0035,Data_Structures,4.0,2026-08-28 07:41:57,b,0,57.0
A002613,S032,Q0073,Neural_Networks,5.0,2026-08-28 07:46:57,c,0,67.0
A000093,S002,Q0122,NLP,5.0,2026-08-28 08:17:57,a,0,58.0
A001706,S021,Q0097,RNN,2.0,2026-08-28 08:20:57,b,1,36.0
A000176,S003,Q0046,Statistics,3.0,2026-08-28 08:23:57,a,0,33.0
A002278,S028,Q0090,CNN,1.0,2026-08-28 08:36:57,a,1,19.0
A001451,S018,Q0010,Math_Basics,2.0,2026-08-28 08:45:57,c,0,33.0
A003024,S037,Q0079,Neural_Networks,5.0,2026-08-28 08:49:57,d,0,66.0
A001452,S018,Q0028,Data_Structures,5.0,2026-08-28 09:22:57,a,0,56.0
A001299,S016,Q0027,Data_Structures,2.0,2026-08-28 09:27:57,b,1,41.0
A000964,S012,Q0084,Neural_Networks,1.0,2026-08-28 09:32:57,b,1,23.0
A001043,S013,Q0013,Python,2.0,2026-08-28 09:43:57,d,0,46.0
A002779,S034,Q0078,Neural_Networks,3.0,2026-08-28 09:57:57,d,0,37.0
A001042,S013,Q0025,Data_Structures,4.0,2026-08-28 09:58:57,a,0,59.0
A000780,S010,Q0048,Statistics,4.0,2026-08-28 10:02:57,c,0,53.0
A000343,S005,Q0052,AI_Basics,3.0,2026-08-28 10:10:57,a,0,46.0
A000417,S006,Q0061,ML,3.0,2026-08-28 10:10:57,b,1,35.0
A002616,S032,Q0069,ML,5.0,2026-08-28 10:25:57,d,0,55.0
A000965,S012,Q0127,NLP,3.0,2026-08-28 10:46:57,b,1,42.0
A002041,S025,Q0090,CNN,1.0,2026-08-28 10:50:57,a,1,24.0
A000874,S011,Q0069,ML,5.0,2026-08-28 10:50:57,a,1,62.0
A000698,S009,Q0044,Statistics,3.0,2026-08-28 10:51:57,c,1,44.0
A002373,S029,Q0022,Python,4.0,2026-08-28 10:55:57,a,1,41.0
A001532,S019,Q0019,Python,5.0,2026-08-28 11:10:57,d,0,57.0
A001627,S020,Q0073,Neural_Networks,5.0,2026-08-28 11:11:57,a,1,36.0
A001298,S016,Q0063,ML,2.0,2026-08-28 11:17:57,b,1,21.0
A003187,S039,Q0019,Python,5.0,2026-08-28 11:44:57,c,0,71.0
A002456,S030,Q0124,NLP,2.0,2026-08-28 12:01:57,a,1,20.0
A001222,S015,Q0079,Neural_Networks,5.0,2026-08-28 12:06:57,a,0,47.0
A003189,S039,Q0120,LSTM,5.0,2026-08-28 12:15:57,d,0,62.0
A000873,S011,Q0070,ML,5.0,2026-08-28 12:19:57,b,1,59.0
A002280,S028,Q0123,NLP,3.0,2026-08-28 12:25:57,c,0,33.0
A000262,S004,Q0019,Python,5.0,2026-08-28 12:27:57,d,0,58.0
A001041,S013,Q0120,LSTM,5.0,2026-08-28 12:37:57,d,0,62.0
A001865,S023,Q0091,CNN,2.0,2026-08-28 12:41:57,d,0,36.0
A000341,S005,Q0037,Statistics,4.0,2026-08-28 12:41:57,d,0,56.0
A000259,S004,Q0103,RNN,3.0,2026-08-28 12:46:57,b,1,37.0
A000173,S003,Q0118,LSTM,4.0,2026-08-28 12:48:57,a,0,60.0
A001868,S023,Q0052,AI_Basics,3.0,2026-08-28 13:05:57,b,1,39.0
A000258,S004,Q0129,NLP,1.0,2026-08-28 13:09:57,c,0,23.0
A000606,S008,Q0016,Python,3.0,2026-08-28 13:20:57,a,1,-5.0
A001628,S020,Q0009,Math_Basics,2.0,2026-08-28 13:35:57,a,1,18.0
A000175,S003,Q0088,CNN,2.0,2026-08-28 13:40:57,c,0,46.0
A001863,S023,Q0132,NLP,3.0,2026-08-28 13:41:57,c,0,44.0
A001862,S023,Q0045,Statistics,1.0,2026-08-28 13:44:57,b,1,32.0
A001377,S017,Q0040,Statistics,3.0,2026-08-28 13:45:57,b,1,28.0
A001861,S023,Q0011,Math_Basics,1.0,2026-08-28 13:48:57,c,1,18.0
A000869,S011,Q0070,ML,5.0,2026-08-28 13:52:57,a,0,49.0
A002368,S029,Q0127,NLP,3.0,2026-08-28 14:02:57,c,0,57.0
A002457,S030,Q0034,Data_Structures,3.0,2026-08-28 14:31:57,b,1,41.0
A001376,S017,Q0025,Data_Structures,4.0,2026-08-28 14:39:57,c,1,14.0
A000524,S007,Q0129,NLP,1.0,2026-08-28 14:39:57,a,0,34.0
A002370,S029,Q0076,Neural_Networks,2.0,2026-08-28 14:49:57,b,1,36.0
A001708,S021,Q0123,NLP,3.0,2026-08-28 14:55:57,a,1,29.0
A002705,S033,Q0069,ML,5.0,2026-08-28 15:00:57,d,0,51.0
A002037,S025,Q0093,CNN,4.0,2026-08-28 15:14:57,d,0,52.0
A001626,S020,Q0080,Neural_Networks,2.0,2026-08-28 15:20:57,a,1,18.0
A003106,S038,Q0058,AI_Basics,5.0,2026-08-28 15:20:57,d,0,59.0
A002033,S025,Q0012,Math_Basics,4.0,2026-08-28 15:31:57,a,1,19.0
A000255,S004,Q0103,RNN,3.0,2026-08-28 15:38:57,b,1,32.0
A000005,S001,Q0122,NLP,5.0,2026-08-28 15:44:57,d,0,62.0
A001705,S021,Q0106,RNN,5.0,2026-08-28 15:45:57,c,0,58.0
A002281,S028,Q0114,LSTM,2.0,2026-08-28 15:46:57,c,1,21.0
A001450,S018,Q0011,Math_Basics,1.0,2026-08-28 15:53:57,c,1,21.0
A001536,S019,Q0112,LSTM,3.0,2026-08-28 16:01:57,a,1,37.0
A002614,S032,Q0104,RNN,2.0,2026-08-28 16:12:57,b,1,38.0
A002279,S028,Q0039,Statistics,3.0,2026-08-28 16:14:57,b,1,27.0
A000094,S002,Q0062,ML,2.0,2026-08-28 16:19:57,a,1,31.0
A001535,S019,Q0081,Neural_Networks,5.0,2026-08-28 16:20:57,b,1,44.0
A001950,S024,Q0131,NLP,1.0,2026-08-28 16:36:57,a,1,14.0
A000695,S009,Q0033,Data_Structures,2.0,2026-08-28 16:37:57,d,0,41.0
A001949,S024,Q0115,LSTM,4.0,2026-08-28 16:38:57,a,1,32.0
A000872,S011,Q0023,Python,4.0,2026-08-28 16:40:57,b,1,41.0
A003104,S038,Q0121,NLP,3.0,2026-08-28 16:47:57,c,0,60.0
A000174,S003,Q0103,RNN,3.0,2026-08-28 16:48:57,a,0,49.0
A001218,S015,Q0002,Math_Basics,4.0,2026-08-28 16:52:57,c,1,43.0
A002107,S026,Q0042,Statistics,5.0,2026-08-28 17:03:57,b,1,36.0
A003026,S037,Q0076,Neural_Networks,2.0,2026-08-28 17:06:57,d,0,33.0
A001297,S016,Q0072,ML,5.0,2026-08-28 17:06:57,c,0,67.0
A001709,S021,Q0044,Statistics,3.0,2026-08-28 17:13:57,c,1,32.0
A002780,S034,Q0040,Statistics,3.0,2026-08-28 17:13:57,a,0,32.0
A001455,S018,Q0102,RNN,2.0,2026-08-28 17:14:57,c,0,50.0
A000261,S004,Q0091,CNN,2.0,2026-08-28 17:14:57,d,0,38.0
A001792,S022,Q0095,CNN,5.0,2026-08-28 17:20:57,b,1,34.0
A000605,S008,Q0008,Math_Basics,5.0,2026-08-28 17:22:57,b,0,69.0
A002615,S032,Q0024,Python,1.0,2026-08-28 17:28:57,c,1,9.0
A001447,S018,Q0105,RNN,4.0,2026-08-28 17:35:57,c,0,63.0
A000418,S006,Q0081,Neural_Networks,5.0,2026-08-28 17:37:57,b,1,45.0
A001867,S023,Q0083,Neural_Networks,4.0,2026-08-28 17:39:57,b,1,44.0
A000420,S006,Q0028,Data_Structures,5.0,2026-08-28 17:49:57,b,1,32.0
A003023,S037,Q0122,NLP,5.0,2026-08-28 17:51:57,a,0,76.0
A002366,S029,Q0065,ML,1.0,2026-08-28 17:51:57,d,0,30.0
A000002,S001,Q0078,Neural_Networks,3.0,2026-08-28 18:01:57,b,1,38.0
A003102,S038,Q0067,ML,3.0,2026-08-28 18:05:57,c,0,46.0
A002199,S027,Q0127,NLP,3.0,2026-08-28 18:08:57,b,1,34.0
A001953,S024,Q0063,ML,2.0,2026-08-28 18:16:57,b,1,
A001219,S015,Q0107,RNN,1.0,2026-08-28 18:23:57,a,1,7.0
A001453,S018,Q0090,CNN,1.0,2026-08-28 18:31:57,a,1,25.0
A002531,S031,Q0024,Python,1.0,2026-08-28 18:38:57,c,1,30.0
A000697,S009,Q0079,Neural_Networks,5.0,2026-08-28 18:39:57,a,0,67.0
A000414,S006,Q0024,Python,1.0,2026-08-28 18:39:57,c,1,18.0
A002198,S027,Q0086,CNN,2.0,2026-08-28 18:40:57,b,1,14.0
A002040,S025,Q0067,ML,3.0,2026-08-28 18:53:57,b,1,36.0
A002781,S034,Q0079,Neural_Networks,5.0,2026-08-28 18:54:57,a,0,62.0
A000871,S011,Q0079,Neural_Networks,5.0,2026-08-28 19:06:57,c,0,56.0
A000608,S008,Q0005,Math_Basics,3.0,2026-08-28 19:07:57,d,0,48.0
A002375,S029,Q0051,AI_Basics,3.0,2026-08-28 19:13:57,b,1,33.0
A001790,S022,Q0122,NLP,5.0,2026-08-28 19:14:57,d,0,48.0
A002369,S029,Q0118,LSTM,4.0,2026-08-28 19:41:57,c,0,43.0
A001711,S021,Q0112,LSTM,3.0,2026-08-28 19:42:57,a,1,29.0
A002036,S025,Q0128,NLP,1.0,2026-08-28 19:42:57,b,1,19.0
A003022,S037,Q0098,RNN,4.0,2026-08-28 19:47:57,b,0,57.0
A000338,S005,Q0091,CNN,2.0,2026-08-28 20:10:57,d,0,50.0
A000779,S010,Q0031,Data_Structures,3.0,2026-08-28 20:41:57,c,1,36.0
A000001,S001,Q0043,Statistics,4.0,2026-08-28 20:43:57,c,1,49.0
A002777,S034,Q0042,Statistics,5.0,2026-08-28 21:02:57,c,0,60.0
A000694,S009,Q0110,LSTM,2.0,2026-08-28 21:05:57,d,0,30.0
A002527,S031,Q0121,NLP,3.0,2026-08-28 21:10:57,a,1,30.0
A001625,S020,Q0036,Data_Structures,4.0,2026-08-28 21:15:57,b,1,47.0
A003027,S037,Q0051,AI_Basics,3.0,2026-08-28 21:20:57,b,1,43.0
A002704,S033,Q0067,ML,3.0,2026-08-28 21:20:57,a,0,37.0
A001794,S022,Q0011,Math_Basics,1.0,2026-08-28 21:26:57,c,1,30.0
A002776,S034,Q0019,Python,5.0,2026-08-28 21:26:57,a,0,67.0
A003025,S037,Q0040,Statistics,3.0,2026-08-28 21:27:57,b,1,41.0
A000419,S006,Q0026,Data_Structures,2.0,2026-08-28 21:28:57,a,1,20.0
A001952,S024,Q0029,Data_Structures,1.0,2026-08-28 21:36:57,b,1,25.0
A002939,S036,Q0008,Math_Basics,5.0,2026-08-28 21:44:57,d,0,68.0
A003285,S040,Q0130,NLP,2.0,2026-08-28 21:58:57,a,1,24.0
A002034,S025,Q0079,Neural_Networks,5.0,2026-08-28 22:17:57,d,0,47.0
A003284,S040,Q0015,Python,2.0,2026-08-28 22:21:57,b,1,28.0
A001866,S023,Q0042,Statistics,5.0,2026-08-28 22:24:57,c,0,54.0
A001864,S023,Q0066,ML,2.0,2026-08-28 22:29:57,a,1,35.0
A000415,S006,Q0021,Python,5.0,2026-08-28 22:32:57,d,0,46.0
A001534,S019,Q0091,CNN,2.0,2026-08-28 22:34:57,b,1,34.0
A000691,S009,Q0019,Python,5.0,2026-08-28 22:50:57,d,0,73.0
A002706,S033,Q0008,Math_Basics,5.0,2026-08-28 22:52:57,a,1,35.0
A000875,S011,Q0110,LSTM,2.0,2026-08-28 22:56:57,a,1,29.0
A002530,S031,Q0099,RNN,2.0,2026-08-28 23:02:57,a,1,36.0
A001533,S019,Q0124,NLP,2.0,2026-08-28 23:02:57,a,1,36.0
A000523,S007,Q0040,Statistics,3.0,2026-08-28 23:03:57,c,0,47.0
A001448,S018,Q0035,Data_Structures,4.0,2026-08-28 23:12:57,d,0,55.0
A002108,S026,Q0045,Statistics,1.0,2026-08-28 23:27:57,b,1,12.0
A000521,S007,Q0116,LSTM,1.0,2026-08-28 23:30:57,b,1,40.0
A000340,S005,Q0117,LSTM,5.0,2026-08-28 23:40:57,a,0,76.0
A000781,S010,Q0057,AI_Basics,1.0,2026-08-28 23:40:57,a,1,26.0
A002529,S031,Q0022,Python,4.0,2026-08-28 23:47:57,b,0,36.0
A003107,S038,Q0002,Math_Basics,4.0,2026-08-29 00:01:57,d,0,52.0
A000692,S009,Q0079,Neural_Networks,5.0,2026-08-29 00:03:57,c,0,66.0
A001040,S013,Q0023,Python,4.0,2026-08-29 00:07:57,a,0,61.0
A002367,S029,Q0075,Neural_Networks,5.0,2026-08-29 00:26:57,d,0,74.0
A002039,S025,Q0053,AI_Basics,4.0,2026-08-29 00:40:57,b,1,47.0
A002458,S030,Q0103,RNN,3.0,2026-08-29 00:41:57,b,1,34.0
A002936,S036,Q0067,ML,3.0,2026-08-29 00:42:57,a,0,43.0
A001531,S019,Q0012,Math_Basics,4.0,2026-08-29 00:47:57,d,0,41.0
A002856,S035,Q0127,NLP,3.0,2026-08-29 00:52:57,a,0,61.0
A001296,S016,Q0086,CNN,2.0,2026-08-29 01:05:57,b,1,30.0
A001707,S021,Q0119,LSTM,4.0,2026-08-29 01:14:57,b,1,34.0
A000339,S005,Q0057,AI_Basics,1.0,2026-08-29 01:18:57,d,0,27.0
A000778,S010,Q0094,CNN,5.0,2026-08-29 01:18:57,d,0,76.0
A000337,S005,Q0007,Math_Basics,5.0,2026-08-29 01:21:57,d,0,60.0
A002042,S025,Q0032,Data_Structures,5.0,2026-08-29 01:23:57,b,0,44.0
A001454,S018,Q0112,LSTM,3.0,2026-08-29 01:25:57,c,0,49.0
A001220,S015,Q0030,Data_Structures,2.0,2026-08-29 01:26:57,c,1,24.0
A002618,S032,Q0037,Statistics,4.0,2026-08-29 01:28:57,c,1,71.0
A002703,S033,Q0096,CNN,3.0,2026-08-29 01:50:57,b,1,29.0
A002778,S034,Q0077,Neural_Networks,2.0,2026-08-29 01:50:57,d,0,30.0
A002617,S032,Q0104,RNN,2.0,2026-08-29 01:52:57,a,0,39.0
A002282,S028,Q0027,Data_Structures,2.0,2026-08-29 01:55:57,d,0,35.0
A000777,S010,Q0024,Python,1.0,2026-08-29 01:56:57,b,0,26.0
A000256,S004,Q0034,Data_Structures,3.0,2026-08-29 02:01:57,b,1,40.0
A002937,S036,Q0098,RNN,4.0,2026-08-29 02:03:57,c,0,60.0
A001795,S022,Q0042,Statistics,5.0,2026-08-29 02:12:57,b,1,36.0
A003188,S039,Q0110,LSTM,2.0,2026-08-29 02:24:57,c,0,42.0
A001954,S024,Q0011,Math_Basics,1.0,2026-08-29 02:25:57,c,1,27.0
A001793,S022,Q0031,Data_Structures,3.0,2026-08-29 02:38:57,c,1,34.0
A001631,S020,Q0017,Python,2.0,2026-08-29 03:04:57,b,1,29.0
A000257,S004,Q0024,Python,1.0,2026-08-29 03:08:57,c,1,23.0
A000607,S008,Q0131,NLP,1.0,2026-08-29 03:14:57,a,1,30.0
A002455,S030,Q0042,Statistics,5.0,2026-08-29 03:22:57,b,1,60.0
A000010,S001,Q0108,RNN,5.0,2026-08-29 03:27:57,c,0,71.0
A001870,S023,Q0012,Math_Basics,4.0,2026-08-29 03:31:57,a,1,44.0
A000615,S008,Q0002,Math_Basics,4.0,2026-08-29 03:35:57,a,0,51.0
A002203,S027,Q0032,Data_Structures,5.0,2026-08-29 03:58:57,a,0,51.0
A002619,S032,Q0019,Python,5.0,2026-08-29 04:06:57,a,0,70.0
A000351,S005,Q0033,Data_Structures,2.0,2026-08-29 04:15:57,b,1,48.0
A000265,S004,Q0017,Python,2.0,2026-08-29 04:18:57,b,1,32.0
A002714,S033,Q0057,AI_Basics,1.0,2026-08-29 04:25:57,a,1,24.0
A000877,S011,Q0028,Data_Structures,5.0,2026-08-29 04:32:57,b,1,55.0
A003032,S037,Q0017,Python,2.0,2026-08-29 04:41:57,b,1,27.0
A003193,S039,Q0002,Math_Basics,4.0,2026-08-29 04:44:57,a,0,72.0
A000969,S012,Q0068,ML,2.0,2026-08-29 04:54:57,b,1,28.0
A002940,S036,Q0054,AI_Basics,4.0,2026-08-29 04:59:57,c,0,62.0
A003109,S038,Q0070,ML,5.0,2026-08-29 05:19:57,d,0,56.0
A001456,S018,Q0030,Data_Structures,2.0,2026-08-29 05:19:57,c,1,33.0
A000349,S005,Q0009,Math_Basics,2.0,2026-08-29 05:21:57,a,1,26.0
A001957,S024,Q0018,Python,1.0,2026-08-29 05:23:57,b,1,21.0
A002783,S034,Q0073,Neural_Networks,5.0,2026-08-29 05:39:57,c,0,61.0
A002715,S033,Q0123,NLP,3.0,2026-08-29 05:44:57,c,0,37.0
A003108,S038,Q0121,NLP,3.0,2026-08-29 05:49:57,d,0,44.0
A002290,S028,Q0132,NLP,3.0,2026-08-29 05:53:57,c,0,30.0
A000346,S005,Q0007,Math_Basics,5.0,2026-08-29 05:59:57,a,0,53.0
A002284,S028,Q0011,Math_Basics,1.0,2026-08-29 06:03:57,c,1,20.0
A001869,S023,Q0033,Data_Structures,2.0,2026-08-29 06:03:57,d,0,31.0
A002376,S029,Q0066,ML,2.0,2026-08-29 06:09:57,a,1,29.0
A000096,S002,Q0062,ML,2.0,2026-08-29 06:17:57,a,1,42.0
A000880,S011,Q0122,NLP,5.0,2026-08-29 06:23:57,c,0,53.0
A001460,S018,Q0073,Neural_Networks,5.0,2026-08-29 06:30:57,c,0,83.0
A002285,S028,Q0069,ML,5.0,2026-08-29 06:42:57,c,0,60.0
A000266,S004,Q0003,Math_Basics,1.0,2026-08-29 06:54:57,b,1,8.0
A001045,S013,Q0094,CNN,5.0,2026-08-29 07:05:57,c,0,75.0
A003034,S037,Q0040,Statistics,3.0,2026-08-29 07:07:57,b,1,44.0
A000525,S007,Q0096,CNN,3.0,2026-08-29 07:22:57,a,0,48.0
A003033,S037,Q0057,AI_Basics,1.0,2026-08-29 07:24:57,a,1,24.0
A000881,S011,Q0052,AI_Basics,3.0,2026-08-29 07:28:57,b,1,36.0
A001050,S013,Q0088,CNN,2.0,2026-08-29 07:32:57,c,0,34.0
A003196,S039,Q0054,AI_Basics,4.0,2026-08-29 07:36:57,d,0,53.0
A000183,S003,Q0063,ML,2.0,2026-08-29 07:36:57,b,1,29.0
A000421,S006,Q0022,Python,4.0,2026-08-29 07:38:57,b,0,41.0
A003197,S039,Q0117,LSTM,5.0,2026-08-29 07:40:57,c,0,70.0
A001959,S024,Q0064,ML,1.0,2026-08-29 07:47:57,a,1,14.0
A000609,S008,Q0009,Math_Basics,2.0,2026-08-29 07:49:57,b,0,29.0
A000348,S005,Q0001,Math_Basics,5.0,2026-08-29 07:53:57,b,0,56.0
A002944,S036,Q0101,RNN,1.0,2026-08-29 07:56:57,c,0,-5.0
A002109,S026,Q0019,Python,5.0,2026-08-29 08:01:57,b,1,-5.0
A000617,S008,Q0093,CNN,4.0,2026-08-29 08:05:57,d,0,65.0
A002287,S028,Q0126,NLP,2.0,2026-08-29 08:11:57,b,1,19.0
A001800,S022,Q0020,Python,2.0,2026-08-29 08:14:57,c,1,22.0
A002286,S028,Q0082,Neural_Networks,2.0,2026-08-29 08:26:57,b,1,22.0
A002535,S031,Q0019,Python,5.0,2026-08-29 08:31:57,a,0,59.0
A000424,S006,Q0103,RNN,3.0,2026-08-29 08:33:57,b,1,
A002201,S027,Q0010,Math_Basics,2.0,2026-08-29 08:34:57,b,1,28.0
A001715,S021,Q0042,Statistics,5.0,2026-08-29 08:34:57,b,1,49.0
A001306,S016,Q0128,NLP,1.0,2026-08-29 08:35:57,b,1,19.0
A000007,S001,Q0121,NLP,3.0,2026-08-29 08:36:57,b,0,37.0
A003289,S040,Q0035,Data_Structures,4.0,2026-08-29 08:36:57,c,1,33.0
A002858,S035,Q0073,Neural_Networks,5.0,2026-08-29 08:42:57,c,0,76.0
A002707,S033,Q0034,Data_Structures,3.0,2026-08-29 09:04:57,d,0,51.0
A000611,S008,Q0008,Math_Basics,5.0,2026-08-29 09:21:57,d,0,66.0
A001543,S019,Q0066,ML,2.0,2026-08-29 09:23:57,a,1,22.0
A002381,S029,Q0102,RNN,2.0,2026-08-29 09:30:57,b,0,31.0
A001714,S021,Q0129,NLP,1.0,2026-08-29 09:31:57,b,1,13.0
A001302,S016,Q0107,RNN,1.0,2026-08-29 09:35:57,a,1,11.0
A001379,S017,Q0087,CNN,1.0,2026-08-29 09:37:57,b,1,
A001798,S022,Q0060,AI_Basics,1.0,2026-08-29 09:43:57,b,1,5.0
A002709,S033,Q0050,AI_Basics,3.0,2026-08-29 09:47:57,b,1,53.0
A003194,S039,Q0094,CNN,5.0,2026-08-29 09:48:57,b,0,49.0
A001541,S019,Q0072,ML,5.0,2026-08-29 09:50:57,a,1,50.0
A000180,S003,Q0004,Math_Basics,2.0,2026-08-29 10:19:57,b,1,23.0
A001633,S020,Q0034,Data_Structures,3.0,2026-08-29 10:23:57,b,1,44.0
A000616,S008,Q0082,Neural_Networks,2.0,2026-08-29 10:57:57,d,0,38.0
A000182,S003,Q0053,AI_Basics,4.0,2026-08-29 11:09:57,b,1,57.0
A001224,S015,Q0090,CNN,1.0,2026-08-29 11:11:57,a,1,12.0
A000428,S006,Q0003,Math_Basics,1.0,2026-08-29 11:13:57,b,1,19.0
A000178,S003,Q0020,Python,2.0,2026-08-29 11:26:57,c,1,45.0
A002534,S031,Q0054,AI_Basics,4.0,2026-08-29 11:29:57,b,1,32.0
A003287,S040,Q0086,CNN,2.0,2026-08-29 11:33:57,b,1,13.0
A000425,S006,Q0051,AI_Basics,3.0,2026-08-29 11:34:57,b,1,29.0
A000006,S001,Q0122,NLP,5.0,2026-08-29 11:39:57,a,0,70.0
A001542,S019,Q0005,Math_Basics,3.0,2026-08-29 11:48:57,a,1,38.0
A002460,S030,Q0066,ML,2.0,2026-08-29 11:58:57,a,1,
A002460,S030,Q0066,ML,2.0,2026-08-29 11:58:57,a,1,
A001049,S013,Q0071,ML,3.0,2026-08-29 12:01:57,d,0,44.0
A001048,S013,Q0102,RNN,2.0,2026-08-29 12:05:57,b,0,38.0
A002621,S032,Q0065,ML,1.0,2026-08-29 12:09:57,b,1,28.0
A001223,S015,Q0029,Data_Structures,1.0,2026-08-29 12:11:57,b,1,24.0
A002782,S034,Q0027,Data_Structures,2.0,2026-08-29 12:13:57,b,1,34.0
A001123,S014,Q0105,RNN,4.0,2026-08-29 12:16:57,d,0,54.0
A003190,S039,Q0030,Data_Structures,2.0,2026-08-29 12:17:57,a,0,33.0
A000788,S010,Q0066,ML,2.0,2026-08-29 12:34:57,a,1,49.0
A002713,S033,Q0054,AI_Basics,4.0,2026-08-29 12:39:57,c,0,
A001053,S013,Q0131,NLP,1.0,2026-08-29 12:47:57,a,1,51.0
