question_id,topic,prerequisite_topics,difficulty,question_text,option_a,option_b,option_c,option_d,correct_option
Q0054,AI_Basics,Python;Math_Basics,4,"In game-playing AI, what does the minimax algorithm assume?",Both players play randomly,"One player maximizes and the other minimizes, both playing optimally",Only one player is active,The game has no opponent,b
Q0055,AI_Basics,Python;Math_Basics,3,What distinguishes a goal-based agent from a simple reflex agent?,Goal-based agents consider future consequences of actions,Simple reflex agents are always more accurate,There is no difference,Goal-based agents don't perceive the environment,a
Q0056,AI_Basics,Python;Math_Basics,1,What does AI stand for?,Automated Interface,Artificial Intelligence,Advanced Integration,Algorithmic Inference,b
Q0057,AI_Basics,Python;Math_Basics,1,Which of these is an example of a rule-based (non-learning) AI system?,A chess engine using a fixed set of if-then rules,A neural network trained on images,A recommendation system trained on user data,A model that learns from feedback,a
Q0058,AI_Basics,Python;Math_Basics,5,What key limitation led to the 'AI winters' in AI history?,Lack of internet access,Overpromising capabilities relative to available computation and data,Too much available data,Excessive government funding,b
Q0059,AI_Basics,Python;Math_Basics,4,What is alpha-beta pruning used for?,Speeding up search by skipping branches that won't affect the decision,Compressing neural networks,Cleaning training data,Normalizing input features,a
Q0060,AI_Basics,Python;Math_Basics,1,What is a 'search algorithm' used for in AI?,Formatting code,Finding a path or solution within a problem space,Compressing files,Encrypting data,b
Q0061,ML,AI_Basics;Statistics,3,What does gradient descent do?,Randomly changes model parameters,Iteratively adjusts parameters to minimize the loss function,Increases the loss function,Deletes unnecessary training data,b
Q0062,ML,AI_Basics;Statistics,2,What is 'overfitting' in machine learning?,The model performs well on training data but poorly on new data,The model is too simple to learn patterns,The model trains too quickly,The model uses too little data,a
Q0063,ML,AI_Basics;Statistics,2,Why do we split data into training and test sets?,To make the dataset larger,To evaluate how well the model generalizes to unseen data,To speed up training only,It's not necessary,b
Q0064,ML,AI_Basics;Statistics,1,What is supervised learning?,Learning from labeled data with known outputs,Learning with no data at all,Learning only from rewards,Learning without any algorithm,a
Q0065,ML,AI_Basics;Statistics,1,What is unsupervised learning typically used for?,Predicting labels for labeled data,Finding patterns or structure in unlabeled data,Playing games against an opponent,Only image classification,b
Q0066,ML,AI_Basics;Statistics,2,What is a loss function in machine learning?,A function that measures how far predictions are from actual values,A function that generates new data,A type of neural network layer,A hardware component,a
Q0067,ML,AI_Basics;Statistics,3,What is k-fold cross-validation used for?,Speeding up inference,More reliably estimating model performance across different data splits,Reducing the number of features,Increasing overfitting,b
Q0068,ML,AI_Basics;Statistics,2,What type of problem is predicting a continuous numeric value (like house price)?,Classification,Regression,Clustering,Reinforcement learning,b
Q0069,ML,AI_Basics;Statistics,5,What is the bias-variance tradeoff?,Balancing model simplicity (bias) against sensitivity to training data (variance),A tradeoff between training speed and accuracy only,A concept unrelated to model complexity,Only relevant to deep learning,a
Q0070,ML,AI_Basics;Statistics,5,"In ensemble learning, what does 'bagging' (e.g. Random Forest) primarily aim to reduce?",Bias,"Variance, by averaging predictions from models trained on data subsets",Training time,Feature count,b
Q0071,ML,AI_Basics;Statistics,3,What does regularization help prevent?,Underfitting only,"Overfitting, by penalizing overly complex models",Data leakage,Class imbalance,b
Q0072,ML,AI_Basics;Statistics,5,What does 'feature importance' in a Random Forest indicate?,How much each input feature contributes to the model's predictions,The order features were added to the dataset,The correlation between two output labels,The size of the training dataset,a
Q0073,Neural_Networks,ML,5,What does batch normalization do?,Normalizes inputs to a layer to stabilize and speed up training,Removes layers from the network,Increases the batch size automatically,Only applies to the output layer,a
Q0074,Neural_Networks,ML,3,What is backpropagation?,A method for forwarding data through the network only,The algorithm that computes gradients and updates weights by propagating error backward,A way to visualize neural networks,A type of activation function,b
Q0075,Neural_Networks,ML,5,What is the vanishing gradient problem?,Gradients become too large and cause instability,"Gradients become very small in early layers during backpropagation, slowing learning",The model has no gradients at all,A problem only in shallow networks,b
Q0076,Neural_Networks,ML,2,What is an activation function used for in a neural network?,Loading data into the model,Introducing non-linearity so the network can learn complex patterns,Removing outliers from data,Splitting data into batches,b
Q0077,Neural_Networks,ML,2,Which of these is a commonly used activation function?,ReLU,SQL,CSV,API,a
Q0078,Neural_Networks,ML,3,What problem does ReLU help address compared to sigmoid?,It eliminates the need for training,It helps reduce the vanishing gradient problem in deep networks,It always increases the loss,It removes the need for weights,b
Q0079,Neural_Networks,ML,5,What does dropout do during training?,Deletes training data permanently,Randomly deactivates a fraction of neurons to reduce overfitting,Increases the learning rate,Adds more layers to the network,b
Q0080,Neural_Networks,ML,2,What does a 'weight' represent in a neural network?,The strength of a connection between two neurons,The number of layers in the network,The size of the training dataset,The learning rate,a
Q0081,Neural_Networks,ML,5,Why are deeper networks generally more expressive than shallow ones (given enough data)?,They have fewer parameters,"They represent complex, hierarchical patterns through composed non-linear transformations",They always train faster,They never overfit,b
Q0082,Neural_Networks,ML,2,What is a hidden layer?,A layer that is not visible in code,A layer between input and output where intermediate computation happens,The output layer only,A layer used only for data storage,b
Q0083,Neural_Networks,ML,4,What is the 'learning rate' in gradient-based training?,The number of training examples,A hyperparameter controlling how large a step is taken when updating weights,The number of layers in the network,The accuracy of the model,b
Q0084,Neural_Networks,ML,1,What is a perceptron?,A type of database,"The simplest artificial neural network unit, producing an output from weighted inputs",A clustering algorithm,A data preprocessing technique,b
Q0085,CNN,Neural_Networks,5,What is 'transfer learning' in the context of CNNs?,Moving a model to a different programming language,Using a model pretrained on one large dataset as a starting point for a related task,Transferring data between two servers,Converting images to grayscale,b
Q0086,CNN,Neural_Networks,2,What is the purpose of a pooling layer in a CNN?,To increase the image resolution,To reduce the spatial dimensions of the feature map while retaining key information,To add color to grayscale images,To label the training data,b
Q0087,CNN,Neural_Networks,1,What does CNN stand for?,Central Neural Network,Convolutional Neural Network,Combined Node Network,Cyclic Neural Network,b
Q0088,CNN,Neural_Networks,2,What does 'max pooling' do?,Takes the average value in a region,Takes the maximum value in a region of the feature map,Removes the region entirely,Multiplies all values in a region,b
Q0089,CNN,Neural_Networks,1,What type of data are CNNs most commonly used for?,Tabular spreadsheets,Images,Plain text only,Audio waveforms only,b
Q0090,CNN,Neural_Networks,1,What is a 'filter' (or kernel) in a CNN?,A small matrix that slides over the input to detect patterns like edges,A layer that removes noise from labels,A method to split training data,A type of loss function,a
Q0091,CNN,Neural_Networks,2,What is 'stride' in a CNN?,The number of layers in the network,The step size the filter moves across the input,The size of the output image,The number of training epochs,b
Q0092,CNN,Neural_Networks,3,Why do CNNs use shared weights (the same filter) across an image?,To reduce parameters and detect the same feature anywhere in the image,To increase training time,To make the model memorize the training set,It has no real benefit,a
Q0093,CNN,Neural_Networks,4,What is 'padding' used for in a CNN?,To make training slower on purpose,To preserve the spatial dimensions of the input after convolution,To remove the color channels,To increase the batch size,b
Q0094,CNN,Neural_Networks,5,What issue can occur if a CNN's receptive field is too small?,The model may fail to capture larger patterns or context in the image,The model will always overfit,Training will be too fast,It has no effect on performance,a
Q0095,CNN,Neural_Networks,5,What is the main advantage of CNNs over fully-connected networks for image tasks?,They require more parameters,"They exploit spatial locality and weight sharing, needing far fewer parameters",They cannot use backpropagation,They only work on grayscale images,b
Q0096,CNN,Neural_Networks,3,What does a deeper CNN layer typically learn compared to an early layer?,"Only simple edges, same as early layers","More abstract, complex features built from simpler ones detected earlier",Nothing different,Only color information,b
Q0097,RNN,Neural_Networks,2,What is the 'hidden state' in an RNN?,A layer that is never used,A memory that carries information from previous time steps forward,The final output layer only,A type of activation function,b
Q0098,RNN,Neural_Networks,4,What is a bidirectional RNN?,An RNN that processes the sequence in both forward and backward directions,An RNN with two separate outputs only,An RNN that can only be used for images,An RNN with no hidden state,a
Q0099,RNN,Neural_Networks,2,Why can't a standard feedforward network handle sequences well?,It has no concept of order or memory between inputs,It's too slow,It only works with images,It has too many parameters,a
Q0100,RNN,Neural_Networks,3,The vanishing gradient problem is particularly severe for RNNs on:,Very short sequences only,"Long sequences, where gradients shrink over many time steps",Single time-step data,It never happens in RNNs,b
Q0101,RNN,Neural_Networks,1,What does RNN stand for?,Rapid Neural Network,Recurrent Neural Network,Reduced Node Network,Randomized Neural Network,b
Q0102,RNN,Neural_Networks,2,What does an RNN do at each time step?,Processes the current input along with the hidden state from the previous step,Ignores all previous inputs,Trains a completely new model,Only outputs random values,a
Q0103,RNN,Neural_Networks,3,What is 'Backpropagation Through Time' (BPTT)?,A way to run RNNs faster,The algorithm for training RNNs by unrolling them across time steps,A method for image classification,A type of pooling operation,b
Q0104,RNN,Neural_Networks,2,What is a common application of RNNs?,Image compression,Language modeling and text generation,Sorting algorithms,Database indexing,b
Q0105,RNN,Neural_Networks,4,Why do standard RNNs struggle with long-term dependencies?,They have too much memory,Information from early steps gets diluted as gradients vanish over long sequences,They only process one word at a time,They cannot be trained at all,b
Q0106,RNN,Neural_Networks,5,What motivated the development of gated architectures like LSTM and GRU?,To make RNNs simpler,To address the vanishing gradient problem and capture long-term dependencies,To eliminate the need for hidden states,To replace CNNs entirely,b
Q0107,RNN,Neural_Networks,1,What type of data are RNNs best suited for?,Sequential data like text or time series,Single static images,Unordered tabular data only,Random noise,a
Q0108,RNN,Neural_Networks,5,What is 'teacher forcing' in sequence model training?,Forcing the model to only use its own previous predictions,Using the ground-truth previous output as input at the next time step during training,A regularization technique unrelated to sequences,A method to compress the network,b
Q0109,LSTM,RNN,4,What is the role of the 'input gate' in an LSTM?,Decides what new information to add to the cell state,Deletes the entire cell state,Controls the batch size,Has no functional role,a
Q0110,LSTM,RNN,2,What is the 'cell state' in an LSTM?,A separate memory pathway allowing information to persist over long distances,The final output of the network,A type of activation function only,The input layer,a
Q0111,LSTM,RNN,1,What does LSTM stand for?,Long Short-Term Memory,Linear Sequential Training Model,Layered System for Time Modeling,Large Scale Training Method,a
Q0112,LSTM,RNN,3,What is the role of the 'forget gate' in an LSTM?,Decides what information to discard from the cell state,Generates the final prediction,Increases the learning rate,Adds new layers to the network,a
Q0113,LSTM,RNN,5,How does a GRU differ from an LSTM?,GRUs have no gates at all,GRUs merge the forget/input gates into an update gate and combine cell/hidden states,GRUs are only used for images,GRUs cannot handle sequences,b
Q0114,LSTM,RNN,2,How many main gates does a standard LSTM cell have?,1,2,3,5,c
Q0115,LSTM,RNN,4,What is the role of the 'output gate' in an LSTM?,Controls what part of the cell state is exposed as output at that time step,Discards old information only,Adjusts the learning rate,Selects the training data,a
Q0116,LSTM,RNN,1,What problem was LSTM specifically designed to solve?,Image classification,The vanishing gradient problem in standard RNNs for long sequences,Overfitting in CNNs,Slow training in decision trees,b
Q0117,LSTM,RNN,5,When might an LSTM still underperform compared to a Transformer-based model?,"Never, LSTMs are always better","On very long sequences, where attention captures long-range dependencies more directly",On short sequences only,LSTMs cannot be compared to Transformers,b
Q0118,LSTM,RNN,4,"Compared to a standard RNN, why can LSTMs better retain long-range information?",They have more layers only,The gated cell state lets information flow mostly unchanged unless gates modify it,They don't use backpropagation,"They process the entire sequence at once, ignoring order",b
Q0119,LSTM,RNN,4,What is a key computational trade-off of LSTMs compared to simple RNNs?,LSTMs are computationally cheaper due to fewer parameters,LSTMs have more parameters and are costlier due to gating mechanisms,LSTMs cannot be trained with backpropagation,LSTMs cannot process sequences,b
Q0120,LSTM,RNN,5,Why is initializing the forget gate bias to a positive value a common practice?,It has no effect on training,It encourages the network to remember information by default early in training,It forces the network to forget everything immediately,It changes the network into a CNN,b
Q0121,NLP,LSTM,3,What is the key idea behind Word2Vec?,"Words with similar meanings tend to appear in similar contexts, getting similar vectors",Every word gets a completely random vector,It only works for single-letter words,It replaces words with images,a
Q0122,NLP,LSTM,5,What key architectural innovation do Transformer models use instead of recurrence?,Convolutional filters only,"Self-attention, weighing relationships between all tokens in parallel",Simple lookup tables,Random sampling of words,b
Q0123,NLP,LSTM,3,What is 'named entity recognition' (NER)?,"Identifying and classifying proper nouns like names, places, and organizations",Removing named entities from a document,Translating names into another language,Counting the number of words in a sentence,a
Q0124,NLP,LSTM,2,What is a 'word embedding'?,A dense vector representation of a word that captures semantic meaning,A random string assigned to each word,A type of image filter,A way to compress audio files,a
Q0125,NLP,LSTM,1,What does NLP stand for?,Natural Language Processing,Neural Language Program,Numerical Language Prediction,Node Level Processing,a
Q0126,NLP,LSTM,2,What does 'stemming' do in text preprocessing?,Adds new words to a sentence,"Reduces a word to its root/base form, often crudely (e.g. running -> run)",Translates text to another language,Removes stop words only,b
Q0127,NLP,LSTM,3,Why are word embeddings generally better than one-hot encoding for words?,One-hot vectors are dense and small; embeddings are sparse and huge,"Embeddings are dense, lower-dimensional, and capture semantic similarity",One-hot encoding already captures meaning,There is no real difference,b
Q0128,NLP,LSTM,1,What is 'tokenization' in NLP?,Encrypting text data,Breaking text into smaller units like words or subwords,Translating text into another language,Removing all punctuation permanently,b
Q0129,NLP,LSTM,1,What is a common application of NLP?,Image classification,Machine translation and chatbots,Sorting numerical arrays,3D rendering,b
Q0130,NLP,LSTM,2,What is 'part-of-speech tagging'?,"Labeling each word with its grammatical role (noun, verb, etc.)",Translating parts of a sentence,Counting the number of sentences,Removing duplicate words,a
Q0131,NLP,LSTM,1,What does 'stop word removal' typically refer to?,"Removing common, low-information words like 'the' or 'is'",Removing all nouns from a sentence,Deleting the entire dataset,Removing punctuation only,a
Q0132,NLP,LSTM,3,What is the purpose of an attention mechanism in NLP models?,To let the model focus on the most relevant parts of the input for each output,To randomly drop words from the input,To speed up tokenization only,To remove the need for embeddings,a
