attempt_id,student_id,question_id,topic,difficulty,timestamp,selected_option,is_correct,time_taken_seconds,prerequisite_topics,correct_option,grade,exam_goal,available_minutes_per_day,days_since_attempt,recency_weight,time_taken_bucket,attempt_order_in_topic
A000045,S001,Q0008,Math_Basics,5.0,2026-09-04 15:42:57,b,0,60.0,,a,9,General_Practice,45,14.02112510300926,0.37837468908838384,normal,7
A000073,S001,Q0010,Math_Basics,2.0,2026-09-12 06:40:57,b,1,38.0,,b,9,General_Practice,45,6.397513991898148,0.641823536327769,slow,8
A000076,S001,Q0010,Math_Basics,2.0,2026-09-13 03:37:57,d,0,25.0,,b,9,General_Practice,45,5.524597325231482,0.6818566008219994,fast,9
A000086,S001,Q0012,Math_Basics,4.0,2026-09-17 23:54:57,d,0,50.0,,a,9,General_Practice,45,0.6794584363425926,0.9539953612702267,normal,10
A003370,S001,Q0001,Math_Basics,5.0,2026-09-18 09:36:26,c,1,25.0,,c,9,General_Practice,45,0.27565056597222226,0.9810747336159982,fast,11
A003371,S001,Q0001,Math_Basics,5.0,2026-09-18 10:25:06,c,1,25.0,,c,9,General_Practice,45,0.24185426967592594,0.9833756744179872,fast,12
A003372,S001,Q0001,Math_Basics,5.0,2026-09-18 10:50:06,c,1,25.0,,c,9,General_Practice,45,0.22449315856481483,0.9845597618611895,fast,13
A003373,S001,Q0001,Math_Basics,5.0,2026-09-18 11:28:45,c,1,20.0,,c,9,General_Practice,45,0.19765288078703705,0.9863931676523452,fast,14
A000005,S001,Q0122,NLP,5.0,2026-08-28 15:44:57,d,0,62.0,LSTM,b,9,General_Practice,45,21.01973621412037,0.23293936640743929,normal,1
A000007,S001,Q0121,NLP,3.0,2026-08-29 08:36:57,b,0,37.0,LSTM,a,9,General_Practice,45,20.316958436342592,0.2445674238853333,normal,2
A000006,S001,Q0122,NLP,5.0,2026-08-29 11:39:57,a,0,70.0,LSTM,b,9,General_Practice,45,20.18987510300926,0.24673127246411233,slow,3
A000021,S001,Q0124,NLP,2.0,2026-09-01 01:04:57,a,1,34.0,LSTM,a,9,General_Practice,45,17.630847325231482,0.29461754793468237,normal,4
A000024,S001,Q0122,NLP,5.0,2026-09-01 23:57:57,c,0,60.0,LSTM,b,9,General_Practice,45,16.677375103009258,0.3147465544123773,normal,5
A000030,S001,Q0121,NLP,3.0,2026-09-02 10:16:57,a,1,43.0,LSTM,a,9,General_Practice,45,16.24751399189815,0.32426576033582205,normal,6
A000031,S001,Q0123,NLP,3.0,2026-09-02 13:12:57,a,1,39.0,LSTM,a,9,General_Practice,45,16.125291769675925,0.3270245440692935,normal,7
A000032,S001,Q0130,NLP,2.0,2026-09-02 23:08:57,a,1,38.0,LSTM,a,9,General_Practice,45,15.711402880787036,0.33654229025939725,slow,8
A000037,S001,Q0129,NLP,1.0,2026-09-03 07:56:57,b,1,28.0,LSTM,b,9,General_Practice,45,15.34473621412037,0.3452052662206468,slow,9
A000040,S001,Q0131,NLP,1.0,2026-09-04 00:07:57,a,1,19.0,LSTM,a,9,General_Practice,45,14.670430658564815,0.3617229235237977,fast,10
A000057,S001,Q0128,NLP,1.0,2026-09-08 08:43:57,a,0,24.0,LSTM,b,9,General_Practice,45,10.31209732523148,0.489299687837789,normal,11
A000059,S001,Q0130,NLP,2.0,2026-09-08 23:39:57,a,1,37.0,LSTM,a,9,General_Practice,45,9.689875103009259,0.5108644639936909,slow,12
A000077,S001,Q0127,NLP,3.0,2026-09-13 08:41:57,a,0,36.0,LSTM,b,9,General_Practice,45,5.3134862141203705,0.6919076411444612,normal,13
A000082,S001,Q0123,NLP,3.0,2026-09-16 06:46:57,a,1,43.0,LSTM,a,9,General_Practice,45,2.3933473252314816,0.8471358606080407,normal,14
A000090,S001,Q0121,NLP,3.0,2026-09-18 01:17:57,b,0,51.0,LSTM,a,9,General_Practice,45,0.6218195474537037,0.9578144096923421,slow,15
A003375,S001,Q0132,NLP,3.0,2026-09-18 11:46:17,c,0,2.0,LSTM,a,9,General_Practice,45,0.1854769548611111,0.9872260061510836,fast,16
A000002,S001,Q0078,Neural_Networks,3.0,2026-08-28 18:01:57,b,1,38.0,ML,b,9,General_Practice,45,20.92459732523148,0.23448056710131965,normal,1
A000034,S001,Q0084,Neural_Networks,1.0,2026-09-03 19:03:57,b,1,29.0,ML,b,9,General_Practice,45,14.881541769675925,0.35646833248635407,slow,2
A000050,S001,Q0082,Neural_Networks,2.0,2026-09-05 08:15:57,b,1,34.0,ML,b,9,General_Practice,45,13.331541769675926,0.39689954760423773,normal,3
A000062,S001,Q0080,Neural_Networks,2.0,2026-09-09 17:03:57,a,1,31.0,ML,a,9,General_Practice,45,8.964875103009259,0.5371930294243864,normal,4
A000064,S001,Q0082,Neural_Networks,2.0,2026-09-10 23:36:57,b,1,37.0,ML,b,9,General_Practice,45,7.691958436342592,0.586744434079221,slow,5
A000011,S001,Q0017,Python,2.0,2026-08-29 18:46:57,b,1,38.0,,b,9,General_Practice,45,19.89334732523148,0.2518549982022589,slow,1
A000028,S001,Q0013,Python,2.0,2026-09-01 20:16:57,b,1,38.0,,b,9,General_Practice,45,16.83084732523148,0.31141606323291654,slow,2
A000047,S001,Q0023,Python,4.0,2026-09-04 11:35:57,d,0,55.0,,b,9,General_Practice,45,14.192652880787037,0.37390267866685317,slow,3
A000054,S001,Q0022,Python,4.0,2026-09-07 15:49:57,c,0,45.0,,a,9,General_Practice,45,11.016263991898148,0.4659908721874895,normal,4
A000061,S001,Q0022,Python,4.0,2026-09-09 10:58:57,b,0,50.0,,a,9,General_Practice,45,9.21834732523148,0.5278373215942029,normal,5
A000068,S001,Q0023,Python,4.0,2026-09-10 08:25:57,d,0,42.0,,b,9,General_Practice,45,8.324597325231482,0.5615709715016001,fast,6
A000081,S001,Q0017,Python,2.0,2026-09-16 03:14:57,b,1,39.0,,b,9,General_Practice,45,2.540569547453704,0.8385350800818424,slow,7
A000084,S001,Q0018,Python,1.0,2026-09-16 17:45:57,b,1,34.0,,b,9,General_Practice,45,1.9357084363425925,0.8744386997159,slow,8
A003376,S001,Q0014,Python,3.0,2026-09-18 11:46:25,a,1,7.0,,a,9,General_Practice,45,0.1853843622685185,0.987232342216997,fast,9
A003379,S001,Q0016,Python,3.0,2026-09-18 11:46:34,b,0,2.0,,a,9,General_Practice,45,0.18528019560185185,0.9872394703397571,fast,10
A000003,S001,Q0104,RNN,2.0,2026-08-28 03:27:57,b,1,42.0,Neural_Networks,b,9,General_Practice,45,21.531541769675925,0.22482055078101684,slow,1
A000010,S001,Q0108,RNN,5.0,2026-08-29 03:27:57,c,0,71.0,Neural_Networks,b,9,General_Practice,45,20.531541769675925,0.24095670015988688,slow,2
A000012,S001,Q0101,RNN,1.0,2026-08-31 02:46:57,b,1,21.0,Neural_Networks,b,9,General_Practice,45,18.56001399189815,0.2762408532891826,normal,3
A000023,S001,Q0105,RNN,4.0,2026-09-01 13:18:57,a,0,44.0,Neural_Networks,b,9,General_Practice,45,17.12112510300926,0.30521282485137907,normal,4
A000043,S001,Q0104,RNN,2.0,2026-09-03 17:32:57,b,1,36.0,Neural_Networks,b,9,General_Practice,45,14.94473621412037,0.3549103072359353,normal,5
A000039,S001,Q0104,RNN,2.0,2026-09-04 00:13:57,b,1,44.0,Neural_Networks,b,9,General_Practice,45,14.666263991898148,0.3618274082881733,slow,6
A000072,S001,Q0108,RNN,5.0,2026-09-12 22:26:57,a,0,57.0,Neural_Networks,b,9,General_Practice,45,5.740569547453704,0.6717251939557655,normal,7
A000079,S001,Q0107,RNN,1.0,2026-09-13 21:09:57,a,1,24.0,Neural_Networks,a,9,General_Practice,45,4.7940417696759265,0.717273791940678,normal,8
A003378,S001,Q0100,RNN,3.0,2026-09-18 11:46:31,b,1,2.0,Neural_Networks,b,9,General_Practice,45,0.18531491782407408,0.9872370942931186,fast,9
A000001,S001,Q0043,Statistics,4.0,2026-08-28 20:43:57,c,1,49.0,Math_Basics,c,9,General_Practice,45,20.81209732523148,0.23631617210705336,normal,1
A000008,S001,Q0038,Statistics,2.0,2026-08-29 15:17:57,b,1,26.0,Math_Basics,b,9,General_Practice,45,20.03848621412037,0.24933397349127576,fast,2
A000025,S001,Q0041,Statistics,4.0,2026-09-01 17:50:57,c,0,42.0,Math_Basics,b,9,General_Practice,45,16.93223621412037,0.3092351837143743,fast,3
A000026,S001,Q0044,Statistics,3.0,2026-09-02 00:16:57,c,1,37.0,Math_Basics,c,9,General_Practice,45,16.664180658564813,0.3150345435887112,normal,4
A000033,S001,Q0044,Statistics,3.0,2026-09-02 13:30:57,d,0,46.0,Math_Basics,c,9,General_Practice,45,16.112791769675926,0.32730801203056575,slow,5
A000036,S001,Q0046,Statistics,3.0,2026-09-03 06:06:57,d,0,38.0,Math_Basics,c,9,General_Practice,45,15.42112510300926,0.3433822782348835,normal,6
A000038,S001,Q0048,Statistics,4.0,2026-09-03 22:25:57,b,1,47.0,Math_Basics,b,9,General_Practice,45,14.741263991898148,0.35995129174747525,normal,7
A000048,S001,Q0044,Statistics,3.0,2026-09-05 22:05:57,d,0,33.0,Math_Basics,c,9,General_Practice,45,12.755152880787037,0.41307759360371665,fast,8
A000074,S001,Q0045,Statistics,1.0,2026-09-12 15:34:57,b,1,18.0,Math_Basics,b,9,General_Practice,45,6.026680658564815,0.6585349588075494,fast,9
A000089,S001,Q0040,Statistics,3.0,2026-09-17 07:43:57,b,1,44.0,Math_Basics,b,9,General_Practice,45,1.3537639918981481,0.9104322707899504,normal,10
A000101,S002,Q0053,AI_Basics,4.0,2026-08-30 11:17:57,a,0,49.0,Python;Math_Basics,b,12,Entrance_Exam,45,19.205152880787036,0.26416014308396557,normal,1
A000116,S002,Q0057,AI_Basics,1.0,2026-08-31 09:36:57,a,1,30.0,Python;Math_Basics,a,12,Entrance_Exam,45,18.275291769675924,0.28174674007447315,slow,2
A000110,S002,Q0060,AI_Basics,1.0,2026-08-31 10:58:57,b,1,36.0,Python;Math_Basics,b,12,Entrance_Exam,45,18.21834732523148,0.28286101691045085,slow,3
A000113,S002,Q0053,AI_Basics,4.0,2026-08-31 17:05:57,d,0,48.0,Python;Math_Basics,b,12,Entrance_Exam,45,17.96348621412037,0.2879023317488281,normal,4
A000127,S002,Q0059,AI_Basics,4.0,2026-09-05 01:25:57,d,0,58.0,Python;Math_Basics,a,12,Entrance_Exam,45,13.616263991898148,0.3891433479276618,slow,5
A000134,S002,Q0053,AI_Basics,4.0,2026-09-05 04:51:57,d,0,52.0,Python;Math_Basics,b,12,Entrance_Exam,45,13.473208436342592,0.3930212316274832,normal,6
A000154,S002,Q0051,AI_Basics,3.0,2026-09-12 03:55:57,d,0,27.0,Python;Math_Basics,b,12,Entrance_Exam,45,6.5120973252314815,0.6367461636379871,fast,7
A000160,S002,Q0056,AI_Basics,1.0,2026-09-13 04:49:57,d,0,33.0,Python;Math_Basics,b,12,Entrance_Exam,45,5.474597325231482,0.6842238354595979,slow,8
A003388,S002,Q0050,AI_Basics,3.0,2026-09-18 12:32:11,b,1,3.0,Python;Math_Basics,b,12,Entrance_Exam,45,0.1536019548611111,0.9894096011787247,fast,9
A003389,S002,Q0052,AI_Basics,3.0,2026-09-18 12:32:16,c,0,3.0,Python;Math_Basics,b,12,Entrance_Exam,45,0.15354408449074072,0.9894135699741584,fast,10
A003390,S002,Q0055,AI_Basics,3.0,2026-09-18 12:32:21,c,0,2.0,Python;Math_Basics,a,12,Entrance_Exam,45,0.15348621412037036,0.9894175387855121,fast,11
A003391,S002,Q0049,AI_Basics,4.0,2026-09-18 12:32:25,b,0,1.0,Python;Math_Basics,a,12,Entrance_Exam,45,0.15343991782407407,0.9894207138460575,fast,12
A003392,S002,Q0054,AI_Basics,4.0,2026-09-18 12:32:29,b,1,1.0,Python;Math_Basics,b,12,Entrance_Exam,45,0.15339362152777777,0.9894238889167917,fast,13
A000097,S002,Q0088,CNN,2.0,2026-08-29 15:12:57,b,1,21.0,Neural_Networks,b,12,Entrance_Exam,45,20.041958436342593,0.24927397198260529,fast,1
A000098,S002,Q0092,CNN,3.0,2026-08-29 23:03:57,a,1,26.0,Neural_Networks,a,12,Entrance_Exam,45,19.71487510300926,0.2549899849567908,fast,2
A000108,S002,Q0095,CNN,5.0,2026-08-30 12:03:57,b,1,43.0,Neural_Networks,b,12,Entrance_Exam,45,19.17320843634259,0.2647456998348266,fast,3
A000117,S002,Q0088,CNN,2.0,2026-09-01 13:51:57,b,1,23.0,Neural_Networks,b,12,Entrance_Exam,45,17.098208436342592,0.3056980291760717,fast,4
A000119,S002,Q0090,CNN,1.0,2026-09-02 10:32:57,a,1,26.0,Neural_Networks,a,12,Entrance_Exam,45,16.236402880787036,0.3245155941938575,normal,5
A000120,S002,Q0087,CNN,1.0,2026-09-02 17:24:57,b,1,14.0,Neural_Networks,b,12,Entrance_Exam,45,15.950291769675925,0.33101553309524995,fast,6
A000141,S002,Q0090,CNN,1.0,2026-09-07 05:44:57,a,1,34.0,Neural_Networks,a,12,Entrance_Exam,45,11.436402880787037,0.45261606963382106,slow,7
A000142,S002,Q0086,CNN,2.0,2026-09-07 19:20:57,b,1,27.0,Neural_Networks,b,12,Entrance_Exam,45,10.86973621412037,0.4707478394602146,fast,8
A000148,S002,Q0087,CNN,1.0,2026-09-09 04:19:57,b,1,15.0,Neural_Networks,b,12,Entrance_Exam,45,9.495430658564814,0.5177964337921767,fast,9
A000155,S002,Q0090,CNN,1.0,2026-09-12 22:59:57,a,1,7.0,Neural_Networks,a,12,Entrance_Exam,45,5.717652880787037,0.6727930519963674,fast,10
A000169,S002,Q0085,CNN,5.0,2026-09-16 06:12:57,b,1,47.0,Neural_Networks,b,12,Entrance_Exam,45,2.4169584363425924,0.8457505740556925,fast,11
A000102,S002,Q0035,Data_Structures,4.0,2026-08-31 00:58:57,c,1,33.0,Python,c,12,Entrance_Exam,45,18.63501399189815,0.27480851283569324,fast,1
A000121,S002,Q0034,Data_Structures,3.0,2026-09-03 02:28:57,b,1,48.0,Python,b,12,Entrance_Exam,45,15.572513991898148,0.3397978432870206,slow,2
A000122,S002,Q0032,Data_Structures,5.0,2026-09-03 14:13:57,c,1,62.0,Python,c,12,Entrance_Exam,45,15.082930658564814,0.35152688433678725,normal,3
A000138,S002,Q0031,Data_Structures,3.0,2026-09-06 16:02:57,c,1,43.0,Python,c,12,Entrance_Exam,45,12.00723621412037,0.4350570126956081,normal,4
A000144,S002,Q0032,Data_Structures,5.0,2026-09-08 14:04:57,c,1,50.0,Python,c,12,Entrance_Exam,45,10.089180658564814,0.49691876707952676,fast,5
A000150,S002,Q0031,Data_Structures,3.0,2026-09-10 20:42:57,b,0,47.0,Python,c,12,Entrance_Exam,45,7.8127917696759255,0.5818506619610962,slow,6
A000156,S002,Q0027,Data_Structures,2.0,2026-09-12 13:36:57,b,1,24.0,Python,b,12,Entrance_Exam,45,6.108625103009259,0.654805111886598,fast,7
A000161,S002,Q0034,Data_Structures,3.0,2026-09-14 00:11:57,b,1,36.0,Python,b,12,Entrance_Exam,45,4.667652880787037,0.7235851533607922,normal,8
A000167,S002,Q0035,Data_Structures,4.0,2026-09-15 08:46:57,d,0,49.0,Python,c,12,Entrance_Exam,45,3.3100139918981486,0.7949844799372945,normal,9
A000104,S002,Q0112,LSTM,3.0,2026-08-30 07:56:57,a,1,36.0,RNN,a,12,Entrance_Exam,45,19.34473621412037,0.26161667042863335,normal,1
A000128,S002,Q0116,LSTM,1.0,2026-09-04 06:25:57,b,1,13.0,RNN,b,12,Entrance_Exam,45,14.407930658564814,0.36836475436488036,fast,2
A000133,S002,Q0110,LSTM,2.0,2026-09-05 11:04:57,a,1,27.0,RNN,a,12,Entrance_Exam,45,13.214180658564814,0.40014143507286065,fast,3
A000146,S002,Q0118,LSTM,4.0,2026-09-10 02:32:57,c,0,40.0,RNN,b,12,Entrance_Exam,45,8.56973621412037,0.5521095183943374,fast,4
A000163,S002,Q0114,LSTM,2.0,2026-09-14 14:34:57,c,1,28.0,RNN,c,12,Entrance_Exam,45,4.068347325231482,0.7542764392947505,fast,5
A000162,S002,Q0112,LSTM,3.0,2026-09-14 20:50:57,a,1,33.0,RNN,a,12,Entrance_Exam,45,3.807236214120371,0.7680522573273494,fast,6
A000094,S002,Q0062,ML,2.0,2026-08-28 16:19:57,a,1,31.0,AI_Basics;Statistics,a,12,Entrance_Exam,45,20.995430658564814,0.2333321377467187,normal,1
A000096,S002,Q0062,ML,2.0,2026-08-29 06:17:57,a,1,42.0,AI_Basics;Statistics,a,12,Entrance_Exam,45,20.41348621412037,0.242936535272326,slow,2
A000103,S002,Q0064,ML,1.0,2026-08-31 01:16:57,a,1,24.0,AI_Basics;Statistics,a,12,Entrance_Exam,45,18.62251399189815,0.2750467194482749,normal,3
A000114,S002,Q0061,ML,3.0,2026-08-31 04:02:57,b,1,37.0,AI_Basics;Statistics,b,12,Entrance_Exam,45,18.50723621412037,0.27725326951047924,normal,4
A000131,S002,Q0065,ML,1.0,2026-09-05 05:00:57,b,1,31.0,AI_Basics;Statistics,b,12,Entrance_Exam,45,13.466958436342592,0.39319153198745094,slow,5
A000139,S002,Q0070,ML,5.0,2026-09-06 22:58:57,b,1,64.0,AI_Basics;Statistics,b,12,Entrance_Exam,45,11.71834732523148,0.44385651156568734,slow,6
A000149,S002,Q0061,ML,3.0,2026-09-10 09:11:57,a,0,46.0,AI_Basics;Statistics,b,12,Entrance_Exam,45,8.292652880787037,0.5628157909115662,slow,7
A000107,S002,Q0001,Math_Basics,5.0,2026-08-30 03:34:57,d,0,68.0,,c,12,Entrance_Exam,45,19.526680658564814,0.2583380282947475,slow,1
A000112,S002,Q0006,Math_Basics,5.0,2026-08-31 09:03:57,c,0,66.0,,b,12,Entrance_Exam,45,18.29820843634259,0.28129955126818396,slow,2
A000125,S002,Q0003,Math_Basics,1.0,2026-09-04 02:06:57,b,1,33.0,,b,12,Entrance_Exam,45,14.587791769675926,0.36380085104687415,slow,3
A000153,S002,Q0010,Math_Basics,2.0,2026-09-11 03:29:57,d,0,39.0,,b,12,Entrance_Exam,45,7.530152880787036,0.5933621110027312,slow,4
A000159,S002,Q0012,Math_Basics,4.0,2026-09-12 17:52:57,b,0,61.0,,a,12,Entrance_Exam,45,5.930847325231482,0.6629239440842529,slow,5
A000165,S002,Q0009,Math_Basics,2.0,2026-09-15 18:58:57,a,1,51.0,,a,12,Entrance_Exam,45,2.8850139918981483,0.8187520964911962,slow,6
A000093,S002,Q0122,NLP,5.0,2026-08-28 08:17:57,a,0,58.0,LSTM,b,12,Entrance_Exam,45,21.330152880787036,0.22798087547919008,normal,1
A000106,S002,Q0123,NLP,3.0,2026-08-30 05:12:57,b,0,45.0,LSTM,a,12,Entrance_Exam,45,19.458625103009258,0.2595595526375087,normal,2
A000126,S002,Q0130,NLP,2.0,2026-09-03 23:53:57,a,1,31.0,LSTM,a,12,Entrance_Exam,45,14.680152880787036,0.36147924306085294,normal,3
A000129,S002,Q0123,NLP,3.0,2026-09-04 05:59:57,a,1,27.0,LSTM,a,12,Entrance_Exam,45,14.42598621412037,0.36790402843875586,fast,4
